no,time,S,N,P10,P2.5,O,C,Humi-R,W-Direc,W-Speed,A-Pres,A-Temp
260,2015/7/18 6:00,0.009,0.038,0.04,0.019,0.026,0.627,89.797,118.241,1.844,1002.876,25.438
260,2015/7/18 7:00,0.009,0.039,0.043,0.022,0.025,0.664,88.767,135.736,1.676,1003.115,25.81
260,2015/7/18 8:00,0.009,0.035,0.051,0.024,0.03,0.366,87.822,131.114,1.924,1003.346,26.122
260,2015/7/18 9:00,0.009,0.035,0.056,0.03,0.035,0.431,85.322,127.401,1.94,1003.137,27.045
260,2015/7/18 10:00,0.009,0.03,0.059,0.029,0.052,0.364,82.11,136.042,2.249,1003.21,27.976
260,2015/7/18 11:00,0.009,0.027,0.062,0.032,0.068,0.358,80.012,135.123,2.376,1003.346,28.587
260,2015/7/18 12:00,0.009,0.027,0.063,0.036,0.086,0.379,77.88,139.33,1.803,1003.219,29.244
260,2015/7/18 13:00,0.01,0.027,0.068,0.033,0.093,0.376,75.823,140.284,1.82,1002.898,29.895
260,2015/7/18 14:00,0.009,0.034,0.067,0.035,0.09,0.352,75.626,128.934,1.882,1002.814,30.066
260,2015/7/18 15:00,0.009,0.034,0.069,0.038,0.085,0.378,77.432,109.995,1.832,1002.791,29.59
260,2015/7/18 16:00,0.009,0.04,0.074,0.032,0.062,0.386,80.919,92.474,1.581,1002.749,28.612
260,2015/7/18 17:00,0.009,0.043,0.071,0.03,0.052,0.41,82.077,93.112,1.611,1003.03,28.028
260,2015/7/18 18:00,0.009,0.04,0.068,0.03,0.044,0.399,82.718,93.315,1.649,1003.244,27.553
260,2015/7/18 19:00,0.008,0.035,0.058,0.032,0.041,0.381,83.324,104.687,1.574,1003.9,27.072
260,2015/7/18 20:00,0.008,0.027,0.052,0.027,0.045,0.325,83.878,105.718,1.842,1004.24,26.629
260,2015/7/18 21:00,0.008,0.023,0.042,0.022,0.044,0.311,83.415,99.394,1.618,1004.53,26.431
260,2015/7/18 22:00,0.008,0.03,0.04,0.02,0.037,0.321,84.631,112.343,1.301,1004.463,26.292
260,2015/7/18 23:00,0.008,0.024,0.041,0.023,0.04,0.276,85.304,99.677,1.12,1004.468,26.127
260,2015/7/19 0:00,0.008,0.02,0.032,0.016,0.042,0.189,85.725,92.74,0.978,1004.409,25.936
260,2015/7/19 1:00,0.008,0.019,0.03,0.015,0.042,0.318,86.457,94.11,1.248,1004.184,25.687
260,2015/7/19 2:00,0.008,0.021,0.03,0.014,0.039,1.22,87.035,97.266,1.114,1004.024,25.492
260,2015/7/19 3:00,0.008,0.019,0.032,0.017,0.041,0.931,87.369,91.292,1.174,1004.01,25.357
260,2015/7/19 4:00,0.008,0.022,0.032,0.015,0.038,0.972,87.667,93.505,1.035,1003.996,25.173
260,2015/7/19 5:00,0.008,0.025,0.029,0.017,0.035,0.561,87.083,93.242,1.114,1004.269,25.192
260,2015/7/19 6:00,0.009,0.028,0.032,0.016,0.033,0.36,85.21,90.991,1.154,1004.44,25.851
260,2015/7/19 7:00,0.009,0.027,0.036,0.015,0.038,0.327,82.423,88.231,1.359,1004.941,26.884
260,2015/7/19 8:00,0.009,0.029,0.042,0.018,0.042,0.355,78.248,93.123,1.521,1004.626,28.163
260,2015/7/19 9:00,0.011,0.027,0.05,0.024,0.052,0.342,72.46,94.494,1.349,1004.834,29.523
260,2015/7/19 10:00,0.011,0.026,0.053,0.025,0.065,0.34,64.489,84.006,1.5,1004.795,31.011
260,2015/7/19 11:00,0.011,0.03,0.052,0.024,0.077,0.356,61.717,95.893,1.437,1004.857,32.161
260,2015/7/19 12:00,0.011,0.028,0.054,0.023,0.086,0.322,64.439,94.91,2.013,1004.603,32.623
260,2015/7/19 13:00,0.011,0.023,0.047,0.024,0.086,0.275,69.961,81.638,2.595,1004.665,31.595
260,2015/7/19 14:00,0.01,0.021,0.041,0.022,0.072,0.253,70.787,77.768,2.279,1004.449,31.31
260,2015/7/19 15:00,0.011,0.029,0.037,0.019,0.059,0.293,74.341,75.295,2.501,1004.409,30.508
260,2015/7/19 16:00,0.011,0.03,0.047,0.022,0.05,0.419,78.501,68.585,2.092,1004.8,29.508
260,2015/7/19 17:00,0.009,0.031,0.049,0.027,0.044,0.4,84.553,66.458,1.529,1004.685,28.147
260,2015/7/19 18:00,0.009,0.038,0.049,0.028,0.036,0.509,90.507,86.525,1.173,1004.826,27.19
260,2015/7/19 19:00,0.009,0.045,0.049,0.028,0.025,0.427,92.449,108.944,0.954,1005.09,26.91
260,2015/7/19 20:00,0.009,0.046,0.038,0.023,0.012,0.471,91.513,74.735,1.315,1005.087,27.11
260,2015/7/19 21:00,0.015,0.044,0.038,0.023,0.016,0.399,89.456,81.824,1.169,1005.49,27.408
260,2015/7/19 22:00,0.011,0.033,0.038,0.022,0.022,0.303,88.118,87.456,1.268,1005.245,27.43
260,2015/7/19 23:00,0.01,0.029,0.037,0.023,0.025,0.282,87.808,91.161,1.137,1005.079,27.401
260,2015/7/20 0:00,0.009,0.021,0.035,0.022,0.031,0.187,87.125,105.048,0.954,1004.91,27.366
260,2015/7/20 1:00,0.01,0.026,0.027,0.02,0.021,0.689,88.446,80.132,0.919,1004.561,27.207
260,2015/7/20 2:00,0.009,0.02,0.021,0.017,0.028,2.03,88.395,101.718,0.848,1004.589,27.108
260,2015/7/20 3:00,0.009,0.025,0.019,0.013,0.022,1.789,88.179,84.229,0.774,1004.665,27.114
260,2015/7/20 4:00,0.011,0.035,0.029,0.018,0.01,0.791,89.955,70.196,0.75,1004.651,26.844
260,2015/7/20 5:00,0.012,0.036,0.035,0.019,0.011,0.633,90.34,79.235,0.894,1004.432,26.768
260,2015/7/20 6:00,0.012,0.031,0.037,0.022,0.018,0.315,87.282,75.918,1.208,1004.727,27.55
260,2015/7/20 7:00,0.016,0.031,0.04,0.024,0.023,0.374,83.683,88.47,0.952,1005.118,28.399
260,2015/7/20 8:00,0.02,0.03,0.043,0.023,0.028,0.378,80.02,101.993,1.084,1005.124,29.239
260,2015/7/20 9:00,0.013,0.031,0.044,0.021,0.034,0.35,76.676,86.394,1.308,1005.234,29.863
260,2015/7/20 10:00,0.012,0.039,0.047,0.023,0.031,0.395,77.546,81.046,1.065,1005.208,29.548
260,2015/7/20 11:00,0.013,0.039,0.042,0.021,0.042,0.37,74.206,87.711,1.023,1005.135,30.361
260,2015/7/20 12:00,0.015,0.034,0.048,0.026,0.06,0.324,72.074,73.62,1.736,1005.028,31.012
260,2015/7/20 13:00,0.015,0.032,0.05,0.029,0.062,0.291,71.026,78.821,1.555,1004.747,31.084
260,2015/7/20 14:00,0.014,0.032,0.047,0.03,0.07,0.273,68.432,79.355,1.414,1004.226,31.693
260,2015/7/20 15:00,0.015,0.038,0.048,0.028,0.074,0.306,67.659,76.693,1.5,1004.246,31.665
260,2015/7/20 16:00,0.017,0.041,0.051,0.031,0.07,0.312,69.735,70.879,1.704,1003.984,30.959
260,2015/7/20 17:00,0.021,0.047,0.055,0.031,0.05,0.331,70.377,81.327,1.663,1004.086,30.747
260,2015/7/20 18:00,0.025,0.054,0.049,0.03,0.027,0.373,72.859,90.107,1.434,1004.288,29.83
260,2015/7/20 19:00,0.018,0.051,0.05,0.025,0.024,0.349,77.664,94.323,1.552,1004.457,28.679
260,2015/7/20 20:00,0.011,0.044,0.045,0.022,0.028,0.326,78.704,91.043,1.252,1004.738,27.929
260,2015/7/20 21:00,0.01,0.043,0.045,0.023,0.035,0.348,80.062,94.672,1.136,1004.724,27.504
260,2015/7/20 22:00,0.01,0.054,0.047,0.026,0.026,0.388,82.131,87.83,0.84,1004.629,27.223
260,2015/7/20 23:00,0.012,0.062,0.059,0.031,0.021,0.393,85.197,69.032,0.895,1004.57,26.941
260,2015/7/21 0:00,0.011,0.051,0.061,0.038,0.027,0.323,88.004,66.2,0.821,1004.176,26.586
260,2015/7/21 1:00,0.011,0.049,0.066,0.045,0.019,0.356,89.546,66.286,0.842,1003.818,26.38
260,2015/7/21 2:00,0.013,0.056,0.062,0.045,0.012,0.535,91.281,68.042,0.988,1003.466,26.283
260,2015/7/21 3:00,0.015,0.062,0.068,0.045,0.008,0.962,92.396,62.903,0.698,1003.739,26.259
260,2015/7/21 4:00,0.012,0.055,0.061,0.042,0.007,0.823,93.148,77.229,0.506,1004.128,26.275
260,2015/7/21 5:00,0.012,0.052,0.066,0.044,0.009,0.583,93.73,62.993,0.837,1004.505,26.151
260,2015/7/21 6:00,0.012,0.053,0.076,0.052,0.015,0.676,91.931,72.317,0.914,1004.572,26.753
260,2015/7/21 7:00,0.012,0.043,0.076,0.044,0.038,0.473,85.228,98.662,0.89,1004.688,28.096
260,2015/7/21 8:00,0.011,0.034,0.064,0.035,0.057,0.449,80.037,111.454,1.031,1004.747,28.945
260,2015/7/21 9:00,0.011,0.035,0.065,0.037,0.056,0.444,77.037,89.272,0.86,1004.542,29.737
260,2015/7/21 10:00,0.01,0.038,0.06,0.036,0.056,0.442,74.875,83.362,0.732,1004.637,29.904
260,2015/7/21 11:00,0.011,0.05,0.064,0.035,0.043,0.648,76.446,76.406,0.795,1004.404,29.26
260,2015/7/21 12:00,0.011,0.061,0.07,0.032,0.033,0.554,75.542,119.534,0.78,1004.212,29.755
260,2015/7/21 13:00,0.013,0.046,0.069,0.034,0.064,0.455,72.314,122.869,0.966,1003.883,30.99
260,2015/7/21 14:00,0.016,0.046,0.072,0.039,0.08,0.422,71.202,125.387,1.033,1003.613,31.342
260,2015/7/21 15:00,0.017,0.059,0.079,0.045,0.061,0.431,74.882,79.843,1.279,1003.247,30.617
260,2015/7/21 16:00,0.014,0.072,0.081,0.044,0.04,0.446,78.051,80.377,1.392,1003.334,29.939
260,2015/7/21 17:00,0.016,0.078,0.088,0.048,0.024,0.464,80.28,71.7,1.451,1002.971,29.226
260,2015/7/21 18:00,0.015,0.068,0.085,0.044,0.027,0.509,79.514,84.646,1.119,1003.253,29.172
260,2015/7/21 19:00,0.011,0.07,0.078,0.042,0.022,0.555,81.522,112.886,0.942,1003.151,29.105
260,2015/7/21 20:00,0.01,0.06,0.087,0.05,0.027,0.502,82.719,119.925,1.318,1003.548,28.88
260,2015/7/21 21:00,0.01,0.043,0.086,0.054,0.052,0.417,84.131,134.625,1.232,1004.01,28.526
260,2015/7/21 22:00,0.01,0.041,0.078,0.051,0.063,0.433,84.446,103.497,0.809,1003.945,28.243
260,2015/7/21 23:00,0.01,0.045,0.071,0.051,0.047,0.504,86.131,111.832,0.712,1003.886,28.143
260,2015/7/22 0:00,0.011,0.045,0.079,0.057,0.036,0.374,86.7,106.186,0.755,1003.669,28.099
260,2015/7/22 1:00,0.011,0.051,0.079,0.057,0.021,0.491,86.829,115.655,0.666,1003.354,28.098
260,2015/7/22 2:00,0.01,0.034,0.066,0.048,0.031,1.973,87.28,124.383,0.924,1003.193,27.876
260,2015/7/22 3:00,0.01,0.033,0.044,0.033,0.024,2.713,88.185,119.921,0.918,1002.729,27.638
260,2015/7/22 4:00,0.011,0.04,0.036,0.024,0.015,2.145,89.192,106.857,0.659,1002.743,27.561
260,2015/7/22 5:00,0.011,0.042,0.044,0.031,0.011,1.198,90.821,108.485,0.705,1002.974,27.346
260,2015/7/22 6:00,0.01,0.043,0.047,0.032,0.012,0.482,89.789,137.57,0.764,1002.918,27.696
260,2015/7/22 7:00,0.01,0.043,0.05,0.035,0.011,0.661,91.143,81.373,0.462,1003.21,27.633
260,2015/7/22 8:00,0.009,0.046,0.053,0.037,0.014,0.73,92.535,132.147,0.388,1003.222,27.724
260,2015/7/22 9:00,,,0.057,0.041,0.179,,86.95,127.344,0.559,1003.25,29.113
260,2015/7/22 10:00,0.009,0.054,0.06,0.037,0.02,0.54,88.567,168.408,0.825,1003.177,28.576
260,2015/7/22 11:00,0.008,0.049,0.049,0.029,0.033,0.597,88.398,192.43,0.779,1002.935,29.178
260,2015/7/22 12:00,0.009,0.052,0.044,0.03,0.045,0.543,82.905,135.285,0.622,1002.586,30.338
260,2015/7/22 13:00,0.01,0.051,0.056,0.034,0.066,0.559,77.631,117.779,0.953,1002.217,31.869
260,2015/7/22 14:00,0.01,0.051,0.062,0.037,0.105,0.514,75.252,126.129,0.65,1001.877,32.026
260,2015/7/22 15:00,0.013,0.068,0.073,0.04,0.076,0.578,77.848,89.7,1.214,1001.584,31.297
260,2015/7/22 16:00,0.014,0.079,0.064,0.037,0.057,0.619,82.582,69.206,1.599,1001.502,30.181
260,2015/7/22 17:00,0.01,0.074,0.062,0.036,0.048,0.599,87.913,68.077,1.631,1001.635,29.019
260,2015/7/22 18:00,0.009,0.076,0.072,0.045,0.025,0.82,93.915,68.713,1.302,1002.079,28.044
260,2015/7/22 19:00,0.009,0.075,0.082,0.052,0.021,0.57,93.801,69.193,1.204,1002.746,27.87
260,2015/7/22 20:00,0.009,0.078,0.088,0.057,0.017,0.741,94.938,71.477,1.029,1003.219,27.641
260,2015/7/22 21:00,0.009,0.078,0.088,0.058,0.014,0.691,95.113,69.438,0.876,1003.469,27.671
260,2015/7/22 22:00,0.009,0.082,0.1,0.064,0.009,1.009,95.178,76.436,0.797,1003.495,27.713
260,2015/7/22 23:00,0.012,0.074,0.104,0.064,0.009,0.584,94.956,81.755,0.472,1003.312,27.857
260,2015/7/23 0:00,0.01,0.043,0.084,0.044,0.025,0.348,91.591,118.043,0.768,1002.991,28.078
260,2015/7/23 1:00,0.01,0.042,0.06,0.034,0.02,0.673,91.331,114.934,0.612,1002.614,28.037
260,2015/7/23 2:00,0.01,0.03,0.055,0.046,0.03,2.261,91.061,119.947,0.923,1002.268,27.982
260,2015/7/23 3:00,0.01,0.033,0.05,0.028,0.027,2.904,90.512,125.216,0.91,1002.229,27.961
260,2015/7/23 4:00,0.01,0.032,0.049,0.019,0.027,2.333,91.127,122.703,0.786,1002.33,27.783
260,2015/7/23 5:00,0.01,0.04,0.048,0.018,0.02,1.449,91.267,128.743,0.737,1002.344,27.834
260,2015/7/23 6:00,0.01,0.046,0.05,0.023,0.016,0.643,91.561,122.47,0.763,1002.569,27.908
260,2015/7/23 7:00,0.01,0.049,0.053,0.023,0.017,0.646,92.348,130.356,0.544,1002.853,28.012
260,2015/7/23 8:00,0.011,0.05,0.059,0.027,0.038,0.601,85.619,147.747,1.1,1002.653,29.801
260,2015/7/23 9:00,0.011,0.038,0.068,0.033,0.06,0.518,81.076,179.193,1.129,1002.707,30.709
260,2015/7/23 10:00,0.011,0.029,0.071,0.032,0.072,0.478,78.739,201.147,1.275,1002.268,31.208
260,2015/7/23 11:00,0.01,0.024,0.067,0.034,0.097,0.462,79.905,171.814,1.263,1001.964,31.151
260,2015/7/23 12:00,0.009,0.03,0.067,0.043,0.091,0.525,89.214,202.708,1.054,1001.733,29.632
260,2015/7/23 13:00,0.008,0.038,0.077,0.056,0.085,0.497,94.755,246.606,1.445,1001.88,27.764
260,2015/7/23 14:00,0.008,0.041,0.056,0.036,0.059,0.484,95.31,220.907,0.985,1002.054,27.372
260,2015/7/23 15:00,0.008,0.052,0.028,0.022,0.056,0.522,92.796,113.747,0.409,1001.666,27.658
260,2015/7/23 16:00,0.009,0.056,0.032,0.021,0.047,0.56,92.843,236.208,0.714,1002.169,27.539
260,2015/7/23 17:00,0.009,0.051,0.03,0.021,0.046,0.526,91.62,226.842,0.809,1002.063,28.097
260,2015/7/23 18:00,0.01,0.071,0.049,0.032,0.03,0.678,91.984,223.663,0.66,1002.727,28.019
260,2015/7/23 19:00,0.01,0.084,0.077,0.046,0.016,0.823,92.435,191.178,0.535,1003.148,27.925
260,2015/7/23 20:00,0.01,0.085,0.094,0.049,0.009,0.936,92.736,210.333,0.504,1003.005,27.896
260,2015/7/23 21:00,0.01,0.082,0.098,0.049,0.01,1.017,93.743,120.606,0.536,1003.044,27.791
260,2015/7/23 22:00,0.01,0.089,0.108,0.057,0.009,1.183,94.235,114.863,0.61,1003.255,27.758
260,2015/7/23 23:00,0.01,0.085,0.114,0.057,0.01,1.225,94.286,113.3,0.514,1003.244,27.693
260,2015/7/24 0:00,0.01,0.087,0.123,0.065,0.009,1.014,93.983,88.286,0.394,1002.741,27.638
260,2015/7/24 1:00,0.011,0.079,0.125,0.064,0.01,1.168,94.028,90.204,0.594,1002.42,27.523
260,2015/7/24 2:00,0.01,0.054,0.106,0.055,0.019,3.031,93.406,111.203,0.518,1002.341,27.529
260,2015/7/24 3:00,0.011,0.045,0.064,0.034,0.015,3.83,93.317,108.312,0.643,1002.22,27.527
260,2015/7/24 4:00,0.01,0.038,0.056,0.025,0.018,2.879,93.908,119.952,0.801,1002.262,27.341
260,2015/7/24 5:00,0.01,0.04,0.057,0.026,0.014,1.16,94.424,116.743,0.782,1002.138,27.266
260,2015/7/24 6:00,0.01,0.041,0.059,0.027,0.017,0.787,93.265,122.234,1.118,1002.164,27.755
260,2015/7/24 7:00,0.01,0.045,0.061,0.026,0.021,0.68,89.566,128.576,1.061,1002.237,28.727
260,2015/7/24 8:00,0.011,0.045,0.061,0.028,0.039,0.62,83.145,162.412,1.265,1002.254,30.396
260,2015/7/24 9:00,0.012,0.036,0.06,0.023,0.071,0.529,75.325,187.063,1.287,1002.293,32.313
260,2015/7/24 10:00,0.011,0.029,0.065,0.03,0.117,0.468,72.259,171.296,1.55,1002.023,33.037
260,2015/7/24 11:00,0.011,0.017,0.06,0.028,0.123,0.373,65.491,197.128,1.636,1001.801,34.236
260,2015/7/24 12:00,0.011,0.017,0.058,0.032,0.132,0.403,65.004,187.517,1.502,1001.376,34.4
260,2015/7/24 13:00,0.012,0.017,0.056,0.031,0.129,0.333,63.473,206.788,1.971,1001.207,34.461
260,2015/7/24 14:00,0.011,0.021,0.06,0.027,0.111,0.328,63.741,229.275,1.646,1000.956,33.919
260,2015/7/24 15:00,0.011,0.026,0.054,0.029,0.111,0.402,67.093,206.293,1.264,1001.021,33.287
260,2015/7/24 16:00,0.011,0.028,0.063,0.032,0.123,0.454,65.794,193.096,1.13,1000.883,33.706
260,2015/7/24 17:00,0.012,0.036,0.075,0.036,0.126,0.493,66.196,225.919,1.021,1000.872,33.667
260,2015/7/24 18:00,0.012,0.038,0.085,0.04,0.106,0.515,69.573,228.423,1.224,1001.393,32.572
260,2015/7/24 19:00,0.012,0.052,0.081,0.036,0.052,0.554,72.088,238.952,1.057,1001.705,31.702
260,2015/7/24 20:00,0.012,0.062,0.084,0.034,0.032,0.621,73.232,195.587,0.716,1002.296,31.54
260,2015/7/24 21:00,0.012,0.072,0.091,0.04,0.027,0.617,76.273,152.959,0.851,1002.589,31.285
260,2015/7/24 22:00,0.011,0.057,0.076,0.039,0.043,0.474,81.443,148.731,0.895,1002.285,30.461
260,2015/7/24 23:00,0.011,0.053,0.067,0.034,0.035,0.462,80.745,156.745,1.023,1002.184,30.2
260,2015/7/25 0:00,0.011,0.048,0.054,0.031,0.027,0.386,78.762,150.761,0.861,1002.113,30.088
260,2015/7/25 1:00,0.012,0.056,0.041,0.023,0.015,1.737,80.929,133.556,0.576,1001.91,29.788
260,2015/7/25 2:00,0.012,0.06,0.039,0.024,0.01,1.191,83.082,118.782,0.261,1001.429,29.387
260,2015/7/25 3:00,0.012,0.061,0.044,0.027,0.009,0.829,84.152,158.605,0.518,1001.691,29.283
260,2015/7/25 4:00,0.012,0.058,0.058,0.03,0.009,2.161,86.384,154.948,0.364,1001.916,28.849
260,2015/7/25 5:00,0.012,0.058,0.059,0.029,0.01,1.095,86.868,100.595,0.321,1002.31,28.94
260,2015/7/25 6:00,0.013,0.061,0.072,0.035,0.014,0.708,83.794,139.779,0.631,1002.777,30.134
260,2015/7/25 7:00,0.014,0.067,0.079,0.04,0.025,0.67,81.011,181.5,0.651,1002.966,30.927
260,2015/7/25 8:00,0.015,0.058,0.092,0.046,0.06,0.673,77.694,176.226,0.813,1002.921,32.031
260,2015/7/25 9:00,0.015,0.057,0.108,0.054,0.097,0.627,73.825,184.135,0.784,1003.036,32.884
260,2015/7/25 10:00,0.014,0.033,0.108,0.057,0.16,0.508,68.602,168.05,0.712,1002.828,34.028
260,2015/7/25 11:00,0.014,0.03,0.112,0.059,0.187,0.508,66.743,222.127,0.912,1002.324,34.557
260,2015/7/25 12:00,0.016,0.073,0.122,0.068,0.165,1.133,68.969,123.219,0.963,1002.189,34.229
260,2015/7/25 13:00,0.019,0.086,0.176,0.1,0.18,1.462,74.3,90.86,1.173,1002.001,33.329
260,2015/7/25 14:00,0.016,0.068,0.167,0.09,0.207,1.236,72.649,97.426,1,1001.384,33.705
260,2015/7/25 15:00,0.015,0.06,0.144,0.079,0.224,1.035,71.774,106.939,0.926,1001.531,33.777
260,2015/7/25 16:00,0.014,0.055,0.12,0.069,0.154,1.032,73.575,79.151,1.466,1001.449,33.005
260,2015/7/25 17:00,0.013,0.072,0.094,0.052,0.13,1,74.61,76.131,1.266,1001.598,32.648
260,2015/7/25 18:00,0.012,0.079,0.109,0.059,0.082,0.967,86.188,103.607,1.451,1002.496,30.136
260,2015/7/25 19:00,0.009,0.052,0.093,0.056,0.102,0.752,95.606,87.199,0.645,1002.954,27.608
260,2015/7/25 20:00,0.008,0.054,0.094,0.061,0.107,0.865,95.114,80.739,0.457,1003.134,27.821
260,2015/7/25 21:00,0.009,0.069,0.112,0.075,0.068,0.901,92.948,126.73,0.462,1003.385,28.389
260,2015/7/25 22:00,0.011,0.05,0.122,0.087,0.076,0.838,90.582,192.641,0.48,1003.264,28.737
260,2015/7/25 23:00,0.01,0.082,0.129,0.089,0.02,0.966,92.363,186.967,0.528,1003.151,28.794
260,2015/7/26 0:00,0.011,0.067,0.155,0.097,0.02,0.51,93.326,153.101,0.432,1003.132,28.443
260,2015/7/26 1:00,0.012,0.06,0.15,0.085,0.023,0.614,92.988,64.746,0.191,1003.011,28.354
260,2015/7/26 2:00,0.013,0.069,0.166,0.084,0.011,0.696,93.79,179.126,0.382,1002.805,28.132
260,2015/7/26 3:00,0.013,0.064,0.185,0.08,0.015,1.573,94.003,48.083,0.216,1002.563,28.151
260,2015/7/26 4:00,0.012,0.063,0.17,0.091,0.01,0.82,94.34,101.603,0.249,1002.94,28.107
260,2015/7/26 5:00,0.012,0.068,0.179,0.089,0.01,0.985,94.453,83.534,0.294,1003.253,28.159
260,2015/7/26 6:00,0.012,0.074,0.193,0.104,0.015,1.045,93.878,148.951,0.385,1004.083,28.68
260,2015/7/26 7:00,0.011,0.06,0.194,0.114,0.049,0.838,90.107,231.174,0.613,1004.536,29.505
260,2015/7/26 8:00,0.012,0.044,0.167,0.115,0.101,0.79,81.453,239.304,1.011,1004.828,31.543
260,2015/7/26 9:00,0.013,0.039,0.134,0.092,0.126,0.666,75.551,257.72,1.531,1004.907,32.812
260,2015/7/26 10:00,0.013,0.023,0.123,0.073,0.155,0.53,68.801,238.642,1.464,1005.003,34.353
260,2015/7/26 11:00,0.012,0.014,0.088,0.046,0.148,0.409,63.146,232.246,1.49,1004.823,35.532
260,2015/7/26 12:00,0.011,0.01,0.069,0.036,0.128,0.324,57.471,233.262,1.611,1004.178,36.74
260,2015/7/26 13:00,0.012,0.012,0.052,0.032,0.13,0.309,55.61,227.735,1.293,1004.004,37.033
260,2015/7/26 14:00,0.012,0.012,0.061,0.039,0.121,0.3,53.035,229.876,1.436,1003.934,37.653
260,2015/7/26 15:00,0.011,0.017,0.049,0.029,0.144,0.456,53.768,212.756,1.088,1003.81,37.701
260,2015/7/26 16:00,0.013,0.038,0.081,0.05,0.147,0.679,61.129,170.389,0.91,1003.965,36.06
260,2015/7/26 17:00,0.012,0.037,0.083,0.046,0.15,0.588,65.841,98.029,1.439,1004.322,35.001
260,2015/7/26 18:00,0.01,0.038,0.083,0.055,0.153,0.637,72.524,90.602,1.326,1004.896,32.742
260,2015/7/26 19:00,0.01,0.055,0.084,0.057,0.114,0.784,72.312,115.927,1.406,1005.194,32.934
260,2015/7/26 20:00,0.012,0.032,0.109,0.069,0.13,0.658,75.911,138.762,1.605,1005.743,32.448
260,2015/7/26 21:00,0.013,0.033,0.125,0.081,0.146,0.727,78.282,141.098,1.326,1005.847,32.213
260,2015/7/26 22:00,0.013,0.027,0.122,0.076,0.141,0.607,78.467,128.286,1.359,1006.109,31.91
260,2015/7/26 23:00,0.013,0.034,0.097,0.06,0.089,0.507,75.844,160.273,0.762,1005.76,32.042
260,2015/7/27 0:00,0.012,0.046,0.065,0.039,0.058,0.363,75.381,193.587,0.591,1005.453,31.908
260,2015/7/27 1:00,0.012,0.042,0.058,0.035,0.051,0.465,77.844,174.023,0.469,1005.29,31.326
260,2015/7/27 2:00,0.013,0.051,0.066,0.041,0.033,0.507,79.214,124.874,0.321,1005.135,31.006
260,2015/7/27 3:00,0.014,0.047,0.069,0.042,0.033,0.481,79.399,99.507,0.362,1005.183,30.981
260,2015/7/27 4:00,0.014,0.059,0.068,0.039,0.02,0.554,80.089,117.622,0.367,1005.222,30.852
260,2015/7/27 5:00,0.013,0.065,0.068,0.038,0.012,0.625,81.145,130.664,0.403,1005.673,30.805
260,2015/7/27 6:00,0.014,0.057,0.082,0.042,0.025,0.667,79.692,171.218,0.743,1006.233,31.624
260,2015/7/27 7:00,0.018,0.048,0.102,0.051,0.052,0.635,78.357,239.622,1.215,1006.669,32.358
260,2015/7/27 8:00,0.02,0.044,0.142,0.07,0.085,0.622,71.269,247.878,1.683,1006.891,34.037
260,2015/7/27 9:00,0.019,0.022,0.098,0.049,0.115,0.393,59.225,256.59,1.75,1007.032,36.118
260,2015/7/27 10:00,0.015,0.021,0.071,0.035,0.129,0.356,55.382,263.795,1.672,1007.051,36.967
260,2015/7/27 11:00,0.014,0.018,0.066,0.032,0.14,0.32,53.285,242.289,1.515,1006.663,37.317
260,2015/7/27 12:00,0.013,0.021,0.072,0.039,0.166,0.374,55.113,236.997,1.618,1006.697,37.478
260,2015/7/27 13:00,0.013,0.019,0.09,0.048,0.197,0.374,55.028,220.391,1.26,1006.331,38.036
260,2015/7/27 14:00,0.012,0.016,0.08,0.046,0.162,0.284,52.852,242.076,1.686,1005.737,37.955
260,2015/7/27 15:00,0.011,0.018,0.058,0.026,0.158,0.276,48.483,246.898,1.383,1005.619,39.064
260,2015/7/27 16:00,0.011,0.017,0.057,0.027,0.136,0.26,47.33,243.868,1.52,1005.687,38.739
260,2015/7/27 17:00,0.011,0.019,0.062,0.032,0.141,0.299,49.265,251.794,1.283,1005.946,37.901
260,2015/7/27 18:00,0.013,0.04,0.069,0.038,0.151,0.473,53.255,174.738,0.769,1005.96,37.085
260,2015/7/27 19:00,0.015,0.072,0.096,0.054,0.142,0.781,60.902,88.892,1.017,1006.351,35.512
260,2015/7/27 20:00,0.013,0.078,0.109,0.058,0.123,0.857,62.852,101.535,0.924,1006.762,35.164
260,2015/7/27 21:00,0.013,0.073,0.117,0.064,0.105,0.852,64.879,132.803,1.105,1006.911,34.927
260,2015/7/27 22:00,0.013,0.04,0.119,0.063,0.096,0.496,65.596,139.255,1.474,1007.094,33.79
260,2015/7/27 23:00,0.012,0.038,0.086,0.049,0.114,0.522,72.016,141.57,0.945,1006.885,33.342
260,2015/7/28 0:00,0.014,0.035,0.094,0.05,0.111,0.565,72.22,154.447,1.148,1006.655,33.018
260,2015/7/28 1:00,0.015,0.042,0.081,0.044,0.079,1.418,72.422,164.895,1.016,1005.915,32.742
260,2015/7/28 2:00,0.015,0.044,0.077,0.043,0.061,,74.255,156.911,0.86,1006.013,32.416
260,2015/7/28 3:00,0.015,0.046,0.087,0.046,0.049,1.143,75.368,158.732,0.584,1005.929,32.197
260,2015/7/28 4:00,0.015,0.051,0.087,0.045,0.037,0.611,76.815,148.478,0.593,1006.106,31.796
260,2015/7/28 5:00,0.016,0.066,0.094,0.047,0.019,0.839,78.604,160.504,0.466,1006.345,31.53
